"DOI","Publication Date","Publication Year","Journal","Research Article' or 'non-Research Article'?","Article Title","Citations - CrossRef","Citations - PubMed Central","Citations - Scopus"
"10.1371/journal.pbio.0020098",02/24/04,2004,"PLoS Biology","RA","Sequence-Specific Inhibition of Small RNA Function",73,46,184
"10.1371/journal.pbio.0020099",04/13/04,2004,"PLoS Biology","non RA","Avoiding URL Reference Degradation in Scientific Publications",1,2,2
"10.1371/journal.pbio.0020100",04/13/04,2004,"PLoS Biology","non RA","The Cytoskeleton In Vivo",0,0,0
"10.1371/journal.pbio.0020101",04/13/04,2004,"PLoS Biology","non RA","Peace Lessons from an Unlikely Source",1,0,1
"10.1371/journal.pbio.0020102",02/10/04,2004,"PLoS Biology","non RA","Wnt Signaling Relies on Nuclear Armadillo",1,0,0
"10.1371/journal.pbio.0020103",04/13/04,2004,"PLoS Biology","non RA","A Mechanism for Adding the First Link in a Nascent Actin Filament Chain",0,0,0
"10.1371/journal.pbio.0020104",02/24/04,2004,"PLoS Biology","RA","Genetic and Functional Diversification of Small RNA Pathways in Plants",142,108,370
"10.1371/journal.pbio.0020105",04/13/04,2004,"PLoS Biology","non RA","Who Pays for Open Access?",0,1,1
"10.1371/journal.pbio.0020106",04/13/04,2004,"PLoS Biology","RA","A Pacific Culture among Wild Baboons: Its Emergence and Transmission",9,2,23
"10.1371/journal.pbio.0020107",02/24/04,2004,"PLoS Biology","non RA","Small RNA Pathways in Plants",0,0,0
"10.1371/journal.pbio.0020108",04/13/04,2004,"PLoS Biology","RA","Semi-Supervised Methods to Predict Patient Survival from Gene Expression Data",23,21,93
"10.1371/journal.pbio.0020109",03/30/04,2004,"PLoS Biology","RA","The Genetic Architecture of Parallel Armor Plate Reduction in Threespine Sticklebacks",44,9,80
"10.1371/journal.pbio.0020110",05/11/04,2004,"PLoS Biology","RA","Mre11 Assembles Linear DNA Fragments into DNA Damage Signaling Complexes",24,16,55
"10.1371/journal.pbio.0020111",04/13/04,2004,"PLoS Biology","non RA","Neural Basis of Solving Problems with Insight",0,0,0
"10.1371/journal.pbio.0020112",04/13/04,2004,"PLoS Biology","non RA","When Food Kills",0,0,0
"10.1371/journal.pbio.0020113",04/13/04,2004,"PLoS Biology","non RA","Troubled Waters: The Future of Global Fisheries",3,0,3
"10.1371/journal.pbio.0020114",02/24/04,2004,"PLoS Biology","non RA","Exploring Small RNA Function",0,0,0
"10.1371/journal.pbio.0020115",04/13/04,2004,"PLoS Biology","non RA","A Window into the Brain Demonstrates the Importance of Astrocytes",0,0,0
"10.1371/journal.pbio.0020116",03/05/04,2004,"PLoS Biology","non RA","Reason as Our Guide",7,6,14
"10.1371/journal.pbio.0020117",04/13/04,2004,"PLoS Biology","non RA","Phage Display Libraries Identify T Cells",0,0,0
"10.1371/journal.pbio.0020118",04/13/04,2004,"PLoS Biology","non RA","Predicting Cancer Patient Survival with Gene Expression Data",1,0,0
"10.1371/journal.pbio.0020119",04/13/04,2004,"PLoS Biology","non RA","Evaluating Disease Trends in Marine Ecosystems",0,0,0
"10.1371/journal.pbio.0020120",04/13/04,2004,"PLoS Biology","RA","The Elusive Baseline of Marine Disease: Are Diseases in Ocean Ecosystems Increasing?",12,0,60
"10.1371/journal.pbio.0020121",04/13/04,2004,"PLoS Biology","non RA","Chronic Wasting Disease?Prion Disease in the Wild",1,0,3
"10.1371/journal.pbio.0020122",04/13/04,2004,"PLoS Biology","non RA","A Wee Lesson in Science Communication",0,0,0
"10.1371/journal.pbio.0020123",06/15/04,2004,"PLoS Biology","RA","Topology and Robustness in the Drosophila Segment Polarity Network",19,15,53
"10.1371/journal.pbio.0020124",04/13/04,2004,"PLoS Biology","non RA","Emergence of a Peaceful Culture in Wild Baboons",0,0,0
"10.1371/journal.pbio.0020125",04/13/04,2004,"PLoS Biology","non RA","Yeast Prions: Protein Aggregation Is Not Enough",0,0,0
"10.1371/journal.pbio.0020126",03/23/04,2004,"PLoS Biology","RA","Accelerated Evolution of the ASPM Gene Controlling Brain Size Begins Prior to Human Brain Expansion",26,8,66
"10.1371/journal.pbio.0020127",05/11/04,2004,"PLoS Biology","non RA","Organizing the Vertebrate Embryo?A Balance of Induction and Competence",0,1,1
"10.1371/journal.pbio.0020128",05/11/04,2004,"PLoS Biology","RA","Ras and Gpa2 Mediate One Branch of a Redundant Glucose Signaling Pathway in Yeast",9,14,42
"10.1371/journal.pbio.0020129",05/11/04,2004,"PLoS Biology","RA","Early Myocardial Function Affects Endocardial Cushion Development in Zebrafish",12,7,38
"10.1371/journal.pbio.0020130",05/11/04,2004,"PLoS Biology","RA","Pax7 Is Necessary and Sufficient for the Myogenic Specification of CD45+:Sca1+ Stem Cells from Injured Muscle",18,6,49
"10.1371/journal.pbio.0020131",03/23/04,2004,"PLoS Biology","RA","A Protein Complex Containing the Conserved Swi2/Snf2-Related ATPase Swr1p Deposits Histone Variant H2A.Z into Euchromatin",54,59,197
"10.1371/journal.pbio.0020132",05/11/04,2004,"PLoS Biology","RA","A Neutral Model of Transcriptome Evolution",36,33,104
"10.1371/journal.pbio.0020133",05/11/04,2004,"PLoS Biology","non RA","Planting the Seeds of a New Paradigm",10,6,23
"10.1371/journal.pbio.0020134",03/23/04,2004,"PLoS Biology","non RA","Evolutionary History of a Gene Controlling Brain Size",0,0,1
"10.1371/journal.pbio.0020135",05/11/04,2004,"PLoS Biology","non RA","A Gene That Directs the Regeneration of Injured Muscle from Adult Stem Cells",0,0,0
"10.1371/journal.pbio.0020136",03/23/04,2004,"PLoS Biology","non RA","Depositing a Histone That Protects Active Chromosomal Regions from Silencing",0,0,0
"10.1371/journal.pbio.0020137",04/27/04,2004,"PLoS Biology","RA","Noise Minimization in Eukaryotic Gene Expression",31,30,82
"10.1371/journal.pbio.0020138",05/11/04,2004,"PLoS Biology","non RA","A Role for Early Cardiac Function in Cardiac Morphogenesis",0,0,0
"10.1371/journal.pbio.0020139",05/11/04,2004,"PLoS Biology","RA","Many Ribosomal Protein Genes Are Cancer Genes in Zebrafish",35,26,103
"10.1371/journal.pbio.0020140",05/11/04,2004,"PLoS Biology","non RA","Learning to Change",1,0,2
"10.1371/journal.pbio.0020141",06/15/04,2004,"PLoS Biology","RA","Ecology Drives the Worldwide Distribution of Human Diseases",38,3,25
"10.1371/journal.pbio.0020142",06/15/04,2004,"PLoS Biology","RA","Functional Divergence Caused by Ancient Positive Selection of a Drosophila Hybrid Incompatibility Locus",16,3,32
"10.1371/journal.pbio.0020143",05/11/04,2004,"PLoS Biology","non RA","Single Locus Controls Majority of Armor Evolution in Two Populations of Sticklebacks",0,0,0
"10.1371/journal.pbio.0020144",05/11/04,2004,"PLoS Biology","non RA","The Mre11 Protein Is Necessary for DNA Damage Response",0,0,0
"10.1371/journal.pbio.0020145",05/11/04,2004,"PLoS Biology","non RA","Open Access: A PLoS for Education",0,1,3
"10.1371/journal.pbio.0020146",05/11/04,2004,"PLoS Biology","non RA","The Human Sense of Smell: Are We Better Than We Think?",17,5,38
"10.1371/journal.pbio.0020147",05/11/04,2004,"PLoS Biology","non RA","Niche Markets",3,0,0
"10.1371/journal.pbio.0020148",05/11/04,2004,"PLoS Biology","non RA","Small Fish, Big Science",1,3,16
"10.1371/journal.pbio.0020149",05/11/04,2004,"PLoS Biology","non RA","Neural Induction without Mesoderm in Xenopus",0,0,0
"10.1371/journal.pbio.0020150",06/15/04,2004,"PLoS Biology","non RA","fMRI Beyond the Clinic: Will It Ever Be Ready for Prime Time?",1,0,3
"10.1371/journal.pbio.0020151",05/11/04,2004,"PLoS Biology","non RA","Dissecting the Complexities of Glucose Signaling in Yeast",0,0,0
"10.1371/journal.pbio.0020152",06/15/04,2004,"PLoS Biology","RA","Plasticity of DNA Replication Initiation in Epstein-Barr Virus Episomes",4,11,18
"10.1371/journal.pbio.0020153",06/15/04,2004,"PLoS Biology","RA","A Specific Interface between Integrin Transmembrane Helices and Affinity for Ligand",19,10,60
"10.1371/journal.pbio.0020154",05/11/04,2004,"PLoS Biology","non RA","Random Processes Underlie Most Evolutionary Changes in Gene Expression",0,0,0
"10.1371/journal.pbio.0020155",06/15/04,2004,"PLoS Biology","RA","Absence of the TAP2 Human Recombination Hotspot in Chimpanzees",24,10,63
"10.1371/journal.pbio.0020156",05/11/04,2004,"PLoS Biology","non RA","Open Access and Scientific Societies",0,0,3
"10.1371/journal.pbio.0020157",06/15/04,2004,"PLoS Biology","non RA","Virtual Labs: E-Learning for Tomorrow",0,0,1
"10.1371/journal.pbio.0020158",07/13/04,2004,"PLoS Biology","RA","Subcellular Localization of Frizzled Receptors, Mediated by Their Cytoplasmic Tails, Regulates Signaling Pathway Specificity",10,5,34
"10.1371/journal.pbio.0020159",05/11/04,2004,"PLoS Biology","non RA","Defects in Ribosomal Protein Genes Cause Cancer in Zebrafish",1,0,0
"10.1371/journal.pbio.0020160",06/15/04,2004,"PLoS Biology","RA","Integrative Analysis of the Mitochondrial Proteome in Yeast",23,20,76
"10.1371/journal.pbio.0020161",05/11/04,2004,"PLoS Biology","non RA","The European Research Council?A European Renaissance",0,0,0
"10.1371/journal.pbio.0020162",04/20/04,2004,"PLoS Biology","RA","Integrative Annotation of 21,037 Human Genes Validated by Full-Length cDNA Clones",40,51,163
"10.1371/journal.pbio.0020163",06/15/04,2004,"PLoS Biology","RA","Functional Fluorescent Ca2+ Indicator Proteins in Transgenic Mice under TET Control",24,17,87
"10.1371/journal.pbio.0020164",06/15/04,2004,"PLoS Biology","non RA","A Calculus of Purpose",4,2,12
"10.1371/journal.pbio.0020165",06/15/04,2004,"PLoS Biology","non RA","A Gene Responsible for Hybrid Incompatibility in Drosophila",0,0,0
"10.1371/journal.pbio.0020166",04/20/04,2004,"PLoS Biology","non RA","Annotation Marathon Validates 21,037 Human Genes",1,0,0
"10.1371/journal.pbio.0020167",06/15/04,2004,"PLoS Biology","RA","?-Actinin-4-Mediated FSGS: An Inherited Kidney Disease Caused by an Aggregated and Rapidly Degraded Cytoskeletal Protein",10,5,50
"10.1371/journal.pbio.0020168",06/15/04,2004,"PLoS Biology","non RA","Information Transport across a Membrane",0,0,0
"10.1371/journal.pbio.0020169",06/15/04,2004,"PLoS Biology","non RA","Integrin Bidirectional Signaling: A Molecular View",6,3,26
"10.1371/journal.pbio.0020170",06/15/04,2004,"PLoS Biology","non RA","Ethics as Our Guide",0,0,0
"10.1371/journal.pbio.0020171",07/13/04,2004,"PLoS Biology","RA","A Chromosomal Memory Triggered by Xist Regulates Histone Methylation in X Inactivation",38,21,85
"10.1371/journal.pbio.0020172",06/15/04,2004,"PLoS Biology","non RA","Choices: The Science of Bela Julesz",0,0,0
"10.1371/journal.pbio.0020173",06/22/04,2004,"PLoS Biology","RA","DNA Display I. Sequence-Encoded Routing of DNA Populations",11,7,22
"10.1371/journal.pbio.0020174",06/22/04,2004,"PLoS Biology","RA","DNA Display II. Genetic Manipulation of Combinatorial Chemistry Libraries for Small-Molecule Evolution",13,4,24
"10.1371/journal.pbio.0020175",06/22/04,2004,"PLoS Biology","RA","DNA Display III. Solid-Phase Organic Synthesis on Unprotected DNA",9,3,17
"10.1371/journal.pbio.0020176",06/15/04,2004,"PLoS Biology","RA","Electroencephalographic Brain Dynamics Following Manually Responded Visual Targets",12,3,58
"10.1371/journal.pbio.0020177",06/15/04,2004,"PLoS Biology","non RA","Scientists and Bioethics Councils",0,0,0
"10.1371/journal.pbio.0020178",07/13/04,2004,"PLoS Biology","RA","Hairy Transcriptional Repression Targets and Cofactor Recruitment in Drosophila",9,12,34
"10.1371/journal.pbio.0020179",07/13/04,2004,"PLoS Biology","RA","Activation-Induced Cytidine Deaminase Initiates Immunoglobulin Gene Conversion and Hypermutation by a Common Intermediate",14,7,34
"10.1371/journal.pbio.0020180",06/15/04,2004,"PLoS Biology","non RA","Deconstructing Brain Waves: Background, Cue, and Response",0,0,0
"10.1371/journal.pbio.0020181",06/15/04,2004,"PLoS Biology","non RA","Beyond Therapy ?",0,0,0
"10.1371/journal.pbio.0020182",06/15/04,2004,"PLoS Biology","non RA","A Voice for Research, a Voice for Patients",0,0,0
"10.1371/journal.pbio.0020183",06/15/04,2004,"PLoS Biology","non RA","Everything You Always Wanted to Know about Sexes",1,0,2
"10.1371/journal.pbio.0020184",06/15/04,2004,"PLoS Biology","non RA","Initiation of DNA Replication: The Genomic Context",0,0,0
"10.1371/journal.pbio.0020185",06/15/04,2004,"PLoS Biology","non RA","Computation Approach Shows Robustness of the Striped Pattern of Fruitfly Embryos",0,0,0
"10.1371/journal.pbio.0020186",06/15/04,2004,"PLoS Biology","non RA","Ecology Drives the Global Distribution of Human Diseases",0,0,42
"10.1371/journal.pbio.0020187",06/15/04,2004,"PLoS Biology","non RA","Escape Velocity: Why the Prospect of Extreme Human Life Extension Matters Now",2,0,0
"10.1371/journal.pbio.0020188",06/15/04,2004,"PLoS Biology","non RA","Taking the Stem Cell Debate to the Public",0,0,0
"10.1371/journal.pbio.0020189",06/15/04,2004,"PLoS Biology","non RA","Ethereal Ethics",0,0,0
"10.1371/journal.pbio.0020190",06/15/04,2004,"PLoS Biology","non RA","What's So Hot about Recombination Hotspots?",2,2,7
"10.1371/journal.pbio.0020191",04/27/04,2004,"PLoS Biology","non RA","Turning Down the Volume: Why Some Genes Tolerate Less Noise",0,0,0
"10.1371/journal.pbio.0020192",06/15/04,2004,"PLoS Biology","non RA","A DNA Recombination ?Hotspot? in Humans Is Missing in Chimps",0,0,0
"10.1371/journal.pbio.0020193",06/15/04,2004,"PLoS Biology","non RA","Combining Measures to Characterize Subcellular Machinery",0,0,0
"10.1371/journal.pbio.0020194",06/15/04,2004,"PLoS Biology","non RA","A Protein's Role in Progressive Renal Disease",0,0,0
"10.1371/journal.pbio.0020195",06/15/04,2004,"PLoS Biology","non RA","A Method for Studying Calcium Dynamics in Transgenic Mice",0,0,0
"10.1371/journal.pbio.0020196",08/17/04,2004,"PLoS Biology","RA","Cellular Immune Response to Parasitization in Drosophila Requires the EBF Orthologue Collier",13,6,43
"10.1371/journal.pbio.0020197",07/13/04,2004,"PLoS Biology","RA","Human Population Density and Extinction Risk in the World's Carnivores",24,1,55
"10.1371/journal.pbio.0020198",07/13/04,2004,"PLoS Biology","RA","HIV Infection of Naturally Occurring and Genetically Reprogrammed Human Regulatory T-cells",57,26,125
"10.1371/journal.pbio.0020199",08/17/04,2004,"PLoS Biology","RA","Evidence for Widespread Convergent Evolution around Human Microsatellites",6,2,11
"10.1371/journal.pbio.0020200",08/17/04,2004,"PLoS Biology","non RA","A New Model for Open Sharing: Massachusetts Institute of Technology's OpenCourseWare Initiative Makes a Difference",0,0,0
"10.1371/journal.pbio.0020203",06/22/04,2004,"PLoS Biology","RA","Functional Dissection of an Innate Immune Response by a Genome-Wide RNAi Screen",27,29,76
"10.1371/journal.pbio.0020204",07/13/04,2004,"PLoS Biology","non RA","Calling the Steps in Development's Genetic Square Dance",0,0,0
"10.1371/journal.pbio.0020205",07/13/04,2004,"PLoS Biology","non RA","When It Comes to Frizzled-Mediated Developmental Pathways, Location Matters",0,0,0
"10.1371/journal.pbio.0020206",07/13/04,2004,"PLoS Biology","non RA","Gene Duplication: The Genomic Trade in Spare Parts",28,14,61
"10.1371/journal.pbio.0020207",07/13/04,2004,"PLoS Biology","RA","Lineage-Specific Gene Duplication and Loss in Human and Great Ape Evolution",37,26,77
"10.1371/journal.pbio.0020208",07/13/04,2004,"PLoS Biology","non RA","On the Brink: How Biology and Humans Affect Extinction Risk",0,0,0
"10.1371/journal.pbio.0020209",07/13/04,2004,"PLoS Biology","non RA","Regulating the Regulators: Immune System Regulators Are Highly Susceptible to HIV Infection",0,0,0
"10.1371/journal.pbio.0020210",07/13/04,2004,"PLoS Biology","non RA","Talking Science",0,0,0
"10.1371/journal.pbio.0020211",07/13/04,2004,"PLoS Biology","RA","Honeybee Odometry: Performance in Varying Natural Terrain",8,1,28
"10.1371/journal.pbio.0020212",07/13/04,2004,"PLoS Biology","RA","Migratory Sleeplessness in the White-Crowned Sparrow (Zonotrichia leucophrys gambelii)",13,6,32
"10.1371/journal.pbio.0020213",07/13/04,2004,"PLoS Biology","non RA","Stopping the Rot",0,1,3
"10.1371/journal.pbio.0020214",07/13/04,2004,"PLoS Biology","non RA","Doing Science in Uncertain Times",0,0,0
"10.1371/journal.pbio.0020215",07/13/04,2004,"PLoS Biology","non RA","Nanotubes Make Big Science",4,1,3
"10.1371/journal.pbio.0020216",07/13/04,2004,"PLoS Biology","non RA","Dances as Windows into Insect Perception",0,1,3
"10.1371/journal.pbio.0020217",08/17/04,2004,"PLoS Biology","RA","Nicotine's Defensive Function in Nature",29,3,64
"10.1371/journal.pbio.0020218",08/17/04,2004,"PLoS Biology","RA","The Regenerative Plasticity of Isolated Urodele Myofibers and Its Dependence on Msx1",14,4,29
"10.1371/journal.pbio.0020219",08/17/04,2004,"PLoS Biology","RA","A Focused and Efficient Genetic Screening Strategy in the Mouse: Identification of Mutations That Disrupt Cortical Development",13,7,29
"10.1371/journal.pbio.0020220",08/17/04,2004,"PLoS Biology","non RA","Deconstructing Genetic Contributions to Autoimmunity in Mouse Models",0,0,0
"10.1371/journal.pbio.0020221",07/13/04,2004,"PLoS Biology","non RA","No Rest for the Weary: Migrating Songbirds Keep Their Wits without Sleep",0,0,0
"10.1371/journal.pbio.0020222",06/22/04,2004,"PLoS Biology","non RA","Harnessing DNA-Based Technology for Drug Discovery",0,0,0
"10.1371/journal.pbio.0020223",07/13/04,2004,"PLoS Biology","non RA","Translating DNA into Synthetic Molecules",3,0,3
"10.1371/journal.pbio.0020224",08/17/04,2004,"PLoS Biology","non RA","Grafting the Way to the Systemic Silencing Signal in Plants",2,0,5
"10.1371/journal.pbio.0020225",08/17/04,2004,"PLoS Biology","RA","Forgetting, Reminding, and Remembering: The Retrieval of Lost Spatial Memory",7,2,23
"10.1371/journal.pbio.0020226",07/13/04,2004,"PLoS Biology","non RA","Training the Immune Response: B-cells' Master Regulator",0,0,0
"10.1371/journal.pbio.0020227",07/13/04,2004,"PLoS Biology","non RA","Honeybees' Distance Perception Changes with Terrain of Flight Path",1,0,0
"10.1371/journal.pbio.0020228",07/13/04,2004,"PLoS Biology","non RA","Whose Copy? Whose Rights?",0,0,3
"10.1371/journal.pbio.0020229",06/15/04,2004,"PLoS Biology","non RA","Correction: Mre11 Assembles Linear DNA Fragments into DNA Damage Signaling Complexes",0,0,0
"10.1371/journal.pbio.0020230",06/22/04,2004,"PLoS Biology","RA","Immunity Promotes Virulence Evolution in a Malaria Model",15,5,33
"10.1371/journal.pbio.0020231",08/24/04,2004,"PLoS Biology","RA","Emerin Caps the Pointed End of Actin Filaments: Evidence for an Actin Cortical Network at the Nuclear Inner Membrane",15,10,57
